Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
Italy,1/22/20,0,0,0,0,0,0,0
Italy,1/23/20,0,0,0,0,0,0,0
Italy,1/24/20,0,0,0,0,0,0,0
Italy,1/25/20,0,0,0,0,0,0,0
Italy,1/26/20,0,0,0,0,0,0,0
Italy,1/27/20,0,0,0,0,0,0,0
Italy,1/28/20,0,0,0,0,0,0,0
Italy,1/29/20,0,0,0,0,0,0,0
Italy,1/30/20,0,0,0,0,0,0,0
Italy,1/31/20,2,0,0,0,0,1,0
Italy,2/1/20,0,0,0,0,0,1,0
Italy,2/2/20,0,0,0,0,0,1,0
Italy,2/3/20,0,0,0,0,0,1,0
Italy,2/4/20,0,0,0,0,0,1,0
Italy,2/5/20,0,0,0,0,0,1,0
Italy,2/6/20,0,0,0,0,0,1,0
Italy,2/7/20,1,0,0,0,0,1,0
Italy,2/8/20,0,0,0,0,0,1,0
Italy,2/9/20,0,0,0,0,0,1,0
Italy,2/10/20,0,0,0,0,0,1,0
Italy,2/11/20,0,0,0,0,0,1,0
Italy,2/12/20,0,0,0,0,0,1,0
Italy,2/13/20,0,0,0,0,0,1,0
Italy,2/14/20,0,0,0,0,0,1,0
Italy,2/15/20,0,0,0,0,0,1,0
Italy,2/16/20,0,0,0,0,0,1,0
Italy,2/17/20,0,0,0,0,0,1,0
Italy,2/18/20,0,0,0,0,0,1,0
Italy,2/19/20,0,0,0,0,0,1,0
Italy,2/20/20,0,0,0,0,0,1,0
Italy,2/21/20,17,0,1,0,0,1,0
Italy,2/22/20,42,1,1,1,0,1,0
Italy,2/23/20,93,1,1,1,0,1,0
Italy,2/24/20,74,-1,4,1,0,1,0
Italy,2/25/20,93,0,3,1,0,1,0
Italy,2/26/20,131,2,2,1,0,1,0
Italy,2/27/20,202,42,5,1,0,1,0
Italy,2/28/20,233,1,4,1,0,1,0
Italy,2/29/20,240,0,8,1,0,1,0
Italy,3/1/20,566,37,5,1,0,1,0
Italy,3/2/20,342,66,18,1,0,1,0
Italy,3/3/20,466,11,27,1,0,1,0
Italy,3/4/20,587,116,28,1,0,1,0
Italy,3/5/20,769,138,41,1,0,1,0
Italy,3/6/20,778,109,49,1,0,1,0
Italy,3/7/20,1247,66,36,1,0,1,0
Italy,3/8/20,1492,33,133,1,0,1,0
Italy,3/9/20,1797,102,97,1,0,1,0
Italy,3/10/20,977,0,168,1,0,1,0
Italy,3/11/20,2313,321,196,1,0,1,0
Italy,3/12/20,0,0,0,1,0,1,0
Italy,3/13/20,5198,394,439,1,0,1,0
Italy,3/14/20,3497,527,175,1,0,1,0
Italy,3/15/20,3590,369,368,1,0,1,0
Italy,3/16/20,3233,414,349,1,0,1,0
Italy,3/17/20,3526,192,345,1,0,1,0
Italy,3/18/20,4207,1084,475,1,0,1,0
Italy,3/19/20,5322,415,427,1,0,1,1
Italy,3/20/20,5986,0,627,1,0,1,1
Italy,3/21/20,6557,1632,793,1,0,1,1
Italy,3/22/20,5560,952,651,1,0,1,1
Italy,3/23/20,4789,0,601,1,0,1,1
Italy,3/24/20,5249,1302,743,1,0,1,1
Italy,3/25/20,5210,1036,683,1,0,1,1
Italy,3/26/20,6203,999,712,1,0,1,1
Italy,3/27/20,5909,589,919,1,0,1,1
Italy,3/28/20,5974,1434,889,1,0,1,1
Italy,3/29/20,5217,646,756,1,0,1,1
Italy,3/30/20,4050,1590,812,1,0,1,1
Italy,3/31/20,4053,1109,837,1,0,1,1
Italy,4/1/20,4782,1118,727,1,0,1,1
Italy,4/2/20,4668,1431,760,1,0,1,1
Italy,4/3/20,4585,1480,766,1,0,1,1
Italy,4/4/20,4805,1238,681,1,0,1,1
Italy,4/5/20,4316,819,525,1,0,1,1
Italy,4/6/20,3599,1022,636,1,0,1,1
Italy,4/7/20,3039,1555,604,1,0,1,1
Italy,4/8/20,3836,2099,542,1,0,1,1
Italy,4/9/20,4204,1979,610,1,0,1,1
Italy,4/10/20,3951,1985,570,1,0,1,1
Italy,4/11/20,4694,2079,619,1,0,1,1
